00      pot
01      myrmecoleon
02      bat
03      skeleton
04      togspawner
05      snouter
06      kodamarat
07      ladder
08      pedestal
09      wall

0b      timer
0c      movingplat
0d      timercycle
0f      onewaydoor
10      spikes
11      crusher
12      hurtbox

14      profdetector
15      argus
16      axehead
17      cockatrice
18      condor
19      woman
1a      child
1b      soul
1c      maskedman
1d      nozuchi
1e      fist
1f      ghostspawner
20      ghostlord
21      redskeleton
22      shine
23      steam
24      ghosteffect
25      dust
26      hedgehog
27      caitsith
28      bennu
29      mask
2a      buer
2b      sphinx
2c      chest
2d      weaponcover
2e      ankh
2f      item
30      trapdoor
31      turretactive
32      pressureplate

34      wallseal
35      gyojin
36      gyojinhimself
37      hippocamp
38      kraken
39      waterleaper
3a      nuckelavee
3b      killerrock
3c      slime
3d      magma
3e      kakoujuu
3f      fire
40      pazuzu
41      mandragora
42      naga
43      garuda
44      blob
45      hekatonkheires
46      spriggan
47      gozumezu
48      bonnacon
49      flower
4a      monocoli
4b      jiangshi
4c      .oOo.
4d      backbeard
4e      taisui
4f      hundun
50      pan
51      hanuman
52      enkidu
53      marchosias
54      beelzebub
55      witch
56      siren
57      xingtian
58      zaochi
59      leucrocrota
5a      peryton
5b      zu
5c      lizard
5d      asp
5e      kui
5f      sisterspawner
60      ba
61      chiyou
62      toujin
63      dijiang
64      cailleach
65      keseran
66      baize
67      kamaitachi
68      anubismini
69      yowie
6a      troll
6b      anubis
6c      assassinspawner
6d      abaoaqu
6e      andras
6f      chonchonspawner
70      cyclops
71      vimanadock

73      blackdog
74      salamander
75      skyfishspawner
76      magma
77      thunderbird
78      rusalka
79      yaksi
7a      dakini
7b      nuwa
7c      mudmanspawner
7d      halphas
7e      behemoth
7f      skanda
80      turnwall
81      amon
82      devil
83      satan
84      umudabrutu
85      urmahlullu
86      ugallu
87      kuusarikku
88      girtablilu
89      kulullu
8a      mushnahhu
8b      lahamu
8c      ushumgallu
8d      ushum
8e      mushussu
8f      boss
90      theboss
91      fairyring
92      fog
93      animation
94      breakablefloor
95      retributioneye
96      spiketrap
97      portal
98      portalmanual

9b      sfx
9c      useitemdetect
9d      skydisk
9e      scannable
9f      quicksave
a0      shopdoor
a1      sun
a2      turret

a4      screenshake
a5      bath
a6      chiyoublood
a7      keyfairyspot
a8      boat
a9      block
aa      blockbutton
ab      laserwall
ac      minecart
ad      hotspring
ae      sperm
af      shawn
b0      yokublock
b1      timeronscreen
b2      numberpuzzledoor
b3      scales
b4      explosion
b5      itemgiver
b6      savepoint
b7      grailtoggle
b8      dancefloor

ba      laserstatue
bb      diarypillar
bc      reverbsetting
bd      sfxcontrollable
be      sfxcontroller
bf      fieldname
c0      ankhmom
c1      musicoverride
c2      mantradetector
c3      torudedetector
c4      fieldgate
c5      timerescape
c6      guardianturret
c7      permashake
c8      mapnameoverride
c9      ankhta
ca      ankhtamom
cb      hellspriteshift

4403d0  screenscroll
44a470  savemenu
455960  drop
4736f0  fieldtileanimator
479940  spotlight
47a390  emptyobj
47a3b0  gameoverscreen
47f3c0  drawintra
482320  enemydeath
483030  screenshake
483370  screenflash
485430  auxhud
4862b0  bossintrolight
486c70  bossspawner2
486c90  bossspawner1
4879a0  bosstileanimator
49aa70  bossdancelemeza
4b46c0  hiteffect
4db7c0  mainweapon
4e45a0  lemeza
4fdf50  blackscreen
4ff800  gameoverfadeout
4ffc60  gameoverfadeoutspawner
50da20  msdlayer
50ebf0  bossmsdlayer
51a8c0  msxmenu
53ae40  shopunusedobj
54ea60  mother5
569530  unspawned
56b820  intro
588ab0  warprecordpopup
593130  mantralearnedpopup
5c0c30  shopnpc
5c18f0  shopbg
5c1fe0  shop
5c5c30  shopcuritem
5c5f00  shopcurconf
5c6140  shoplemeza
5d7ef0  steam
5e27f0  hud
5f8e40  lostfocusoverlay
5fd540  shoptext
5feeb0  iframes
616810  timeattackmenu
61f940  titlebg
61fc80  titlemural
61ff10  titlelamulana
6200f0  titlesparkle
620370  titlesparklespawner
620610  title
6222f0  startup
62d2a0  curse
678980  mainlogic
679a20  mantrapopupspawner
